Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-11-14,183.85285300536128,200.15063769511252,183.85285300536128,188.9662628173828,3588368,0.0,0.0
2007-11-15,189.78974705903266,191.1111939694727,185.76796634436093,187.72140502929688,2295396,0.0,0.0
2007-11-16,187.6831622829694,191.1304040391872,185.22221937151255,188.23855590820312,3666816,0.0,0.0
2007-11-19,183.87203221959373,192.85401640816676,183.87203221959373,190.26858520507812,2943548,0.0,0.0
2007-11-20,189.40669811483082,189.40669811483082,183.48893108152924,184.10177612304688,4111392,0.0,0.0
2007-11-21,184.10180416846822,187.68310660163573,179.25651814197045,180.94183349609375,3337028,0.0,0.0
2007-11-22,185.71052403551207,185.71052403551207,179.0650075150579,181.97601318359375,2402356,0.0,0.0
2007-11-23,182.41648447000023,185.0019149585514,181.88982270381388,184.03477478027344,2273540,0.0,0.0
2007-11-26,187.68315256162407,190.36434045536154,185.76801835181158,188.6598663330078,2234300,0.0,0.0
2007-11-27,189.69402731674822,191.30274459152108,185.78714918604302,190.73777770996094,1503964,0.0,0.0
2007-11-28,191.51336623043872,192.24111468430476,185.76796524352557,187.01280212402344,2927688,0.0,0.0
2007-11-29,191.51338695177583,191.60914364525172,182.8952845389459,185.01150512695312,5029688,0.0,0.0
2007-11-30,185.01150599090798,194.9606288273224,185.01150599090798,193.849853515625,5334612,0.0,0.0
2007-12-03,194.57759231400033,204.1532612270909,193.50512207135378,201.0699005126953,6516348,0.0,0.0
2007-12-04,201.0699555662351,201.08910223368412,196.3108514889921,197.2013702392578,1783824,0.0,0.0
2007-12-05,197.25879430277078,200.13149519067522,195.43941707376464,197.8716278076172,2069240,0.0,0.0
2007-12-06,199.17397226008126,201.41467009676524,197.48864468202325,198.32174682617188,4163452,0.0,0.0
2007-12-07,199.17393802214613,205.31195190570355,196.54062874541103,203.50213623046875,4805808,0.0,0.0
2007-12-10,204.9384962426181,205.68540322043557,197.2588131443656,198.33128356933594,3864020,0.0,0.0
2007-12-11,200.89755642513245,200.89755642513245,196.34911317909155,199.42291259765625,2907456,0.0,0.0
2007-12-12,196.91412701116607,203.0042642911434,196.51195342734286,201.7402801513672,3718608,0.0,0.0
2007-12-13,201.0315890096204,203.406359637107,196.81829457888884,197.1821746826172,4645736,0.0,0.0
2007-12-14,194.44354099316078,202.04662485390926,194.44354099316078,199.2505340576172,2720436,0.0,0.0
2007-12-17,205.3789721867591,205.3789721867591,192.4709645176191,193.88816833496094,3203328,0.0,0.0
2007-12-18,193.4285723786801,199.1739755186409,192.14543000627833,192.4518585205078,3845860,0.0,0.0
2007-12-19,193.8115724681819,197.02900713312374,193.0455188220626,196.2054901123047,2671020,0.0,0.0
2007-12-20,197.16300424580726,201.8454965495568,195.91816740501292,200.198486328125,3036020,0.0,0.0
2007-12-24,206.83444671026157,214.4949817736046,201.0890454127543,212.5223846435547,4655664,0.0,0.0
2007-12-26,213.53738966188865,214.43749307424787,208.0122340758525,210.72215270996094,2905996,0.0,0.0
