,Open,Date,Sector
43,12610.19276205251,2022-03-07 00:00:00,Consumer Defensive
44,12402.014820630064,2022-03-08 00:00:00,Consumer Defensive
45,12667.568314442255,2022-03-09 00:00:00,Consumer Defensive
46,12960.538560717885,2022-03-10 00:00:00,Consumer Defensive
47,12720.307815942664,2022-03-11 00:00:00,Consumer Defensive
48,12711.19899252089,2022-03-14 00:00:00,Consumer Defensive
49,12680.271755659596,2022-03-15 00:00:00,Consumer Defensive
50,12995.016367474102,2022-03-16 00:00:00,Consumer Defensive
51,13108.546302473329,2022-03-17 00:00:00,Consumer Defensive
52,13275.553647304303,2022-03-18 00:00:00,Consumer Defensive
53,13336.971536579014,2022-03-21 00:00:00,Consumer Defensive
54,13347.489732735583,2022-03-22 00:00:00,Consumer Defensive
55,13449.843393268744,2022-03-23 00:00:00,Consumer Defensive
56,13449.35064935065,2022-03-24 00:00:00,Consumer Defensive
57,13483.116883116883,2022-03-25 00:00:00,Consumer Defensive
58,13633.116883116883,2022-03-28 00:00:00,Consumer Defensive
59,13789.610389610389,2022-03-29 00:00:00,Consumer Defensive
60,13831.16883116883,2022-03-30 00:00:00,Consumer Defensive
61,13931.16883116883,2022-03-31 00:00:00,Consumer Defensive
62,13741.558441558442,2022-04-01 00:00:00,Consumer Defensive
63,13840.25974025974,2022-04-04 00:00:00,Consumer Defensive
64,13873.376623376624,2022-04-05 00:00:00,Consumer Defensive
65,13907.142857142855,2022-04-06 00:00:00,Consumer Defensive
66,14080.51948051948,2022-04-07 00:00:00,Consumer Defensive
67,14011.688311688313,2022-04-08 00:00:00,Consumer Defensive
68,14041.558441558442,2022-04-11 00:00:00,Consumer Defensive
69,13922.077922077922,2022-04-12 00:00:00,Consumer Defensive
70,13824.025974025973,2022-04-13 00:00:00,Consumer Defensive
71,13765.584415584417,2022-04-14 00:00:00,Consumer Defensive
72,13179.22077922078,2022-02-24 00:00:00,Healthcare
73,13104.935128348214,2022-02-25 00:00:00,Healthcare
74,13557.922046215503,2022-02-28 00:00:00,Healthcare
75,13966.493443080359,2022-03-01 00:00:00,Healthcare
76,14021.038897625811,2022-03-02 00:00:00,Healthcare
77,13976.883053469966,2022-03-03 00:00:00,Healthcare
78,13561.038961038961,2022-03-04 00:00:00,Healthcare
79,12925.974025974023,2022-03-07 00:00:00,Healthcare
80,13168.571491984578,2022-03-08 00:00:00,Healthcare
81,13636.363636363636,2022-03-09 00:00:00,Healthcare
82,13876.883053469966,2022-03-10 00:00:00,Healthcare
83,13989.090877384335,2022-03-11 00:00:00,Healthcare
84,14033.766233766233,2022-03-14 00:00:00,Healthcare
85,14023.636300223214,2022-03-15 00:00:00,Healthcare
86,14367.272790685878,2022-03-16 00:00:00,Healthcare
87,14235.064935064935,2022-03-17 00:00:00,Healthcare
88,14632.727209314122,2022-03-18 00:00:00,Healthcare
89,14408.051884638799,2022-03-21 00:00:00,Healthcare
90,14605.714317420858,2022-03-22 00:00:00,Healthcare
