Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,year,USD_value,OpenUSD,HighUSD,LowUSD,CloseUSD
1967-01-12,0.0,0.1599979597966702,0.1578274259127997,0.1590677201747894,2633600,0.0,0.0,1967,1,0.0,0.1599979597966702,0.1578274259127997,0.1590677201747894
1967-01-13,0.0,0.1612381249370097,0.158447484007704,0.1609280705451965,2358400,0.0,0.0,1967,1,0.0,0.1612381249370097,0.158447484007704,0.1609280705451965
1967-01-16,0.0,0.1627886420390178,0.1612382927647498,0.1621685326099395,1468800,0.0,0.0,1967,1,0.0,0.1627886420390178,0.1612382927647498,0.1621685326099395
1967-01-17,0.0,0.1630987673997879,0.1615483424720039,0.1630987673997879,1392000,0.0,0.0,1967,1,0.0,0.1630987673997879,0.1615483424720039,0.1630987673997879
1967-01-18,0.0,0.1646491140127182,0.1634088195111187,0.1646491140127182,2233600,0.0,0.0,1967,1,0.0,0.1646491140127182,0.1634088195111187,0.1646491140127182
1967-01-19,0.0,0.1655794127434418,0.1630988228574097,0.164028987288475,1852800,0.0,0.0,1967,1,0.0,0.1655794127434418,0.1630988228574097,0.164028987288475
1967-01-20,0.0,0.1630987724551292,0.1603080529195601,0.1621685326099395,2089600,0.0,0.0,1967,1,0.0,0.1630987724551292,0.1603080529195601,0.1621685326099395
1967-01-23,0.0,0.1621683638139427,0.1590675927913304,0.1609280705451965,1939200,0.0,0.0,1967,1,0.0,0.1621683638139427,0.1590675927913304,0.1609280705451965
1967-01-24,0.0,0.1609282182823898,0.1590677388205448,0.1603080332279205,1702400,0.0,0.0,1967,1,0.0,0.1609282182823898,0.1590677388205448,0.1603080332279205
1967-01-25,0.0,0.1606182026218976,0.1581376132045832,0.1584476679563522,2080000,0.0,0.0,1967,1,0.0,0.1606182026218976,0.1581376132045832,0.1584476679563522
1967-01-26,0.0,0.1587576639084588,0.1556569661360234,0.1562770754098892,2873600,0.0,0.0,1967,1,0.0,0.1587576639084588,0.1556569661360234,0.1562770754098892
1967-01-27,0.0,0.1568972603853083,0.1556569661360234,0.1562770754098892,2393600,0.0,0.0,1967,1,0.0,0.1568972603853083,0.1556569661360234,0.1562770754098892
1967-01-30,0.0,0.1578274242961069,0.1562770754098892,0.1562770754098892,2643200,0.0,0.0,1967,1,0.0,0.1578274242961069,0.1562770754098892,0.1562770754098892
1967-01-31,0.0,0.1565871574627854,0.1556569933891296,0.1556569933891296,3017600,0.0,0.0,1967,1,0.0,0.1565871574627854,0.1556569933891296,0.1556569933891296
1967-02-01,0.0,0.1562771851940114,0.155036890073424,0.1553469449281692,2934400,0.0,0.0,1967,1,0.0,0.1562771851940114,0.155036890073424,0.1553469449281692
1967-02-02,0.0,0.1587577909231186,0.1547268503133647,0.1587577909231186,2752000,0.0,0.0,1967,1,0.0,0.1587577909231186,0.1547268503133647,0.1587577909231186
1967-02-03,0.0,0.1634086570826889,0.1603078860600766,0.1609280705451965,2512000,0.0,0.0,1967,1,0.0,0.1634086570826889,0.1603078860600766,0.1609280705451965
